player,season,team,pos,age,minutos_totales,partidos_totales,minutos_por_partido,ws,per
Blake Griffin,2011,LAC,PF,21,"3112,0","82,0","38,0","9,8","21,9"
Luke Walton,2011,LAL,SF,30,"484,0","54,0","9,0","-0,2","5,1"
Channing Frye,2011,PHO,PF,27,"2541,0","77,0","33,0","4,7","12,8"
John Wall,2011,WAS,PG,20,"2606,0","69,0","37,8","2,2","15,8"
Reggie Evans,2011,TOR,PF,30,"798,0","30,0","26,6","1,3","12,4"
Jason Maxiell,2011,DET,PF,27,"930,0","57,0","16,3","0,5","9,4"
Amir Johnson,2011,TOR,PF,23,"1853,0","72,0","25,7","5,6","17,6"
Kyle Korver,2011,CHI,SG,29,"1649,0","82,0","20,1","5,1","13,0"
Lou Williams,2011,PHI,SG,24,"1747,0","75,0","23,3","5,1","18,9"
Mike Miller,2011,MIA,SG,30,"838,0","41,0","20,4","1,6","9,7"
Linas Kleiza,2011,TOR,SF,26,"1032,0","39,0","26,5","-0,3","10,1"
Michael Beasley,2011,MIN,SF,22,"2361,0","73,0","32,3","1,7","15,5"
Mike Conley,2011,MEM,PG,23,"2872,0","81,0","35,5","6,6","15,9"
Antonio McDyess,2011,SAS,PF,36,"1387,0","73,0","19,0","3,0","12,8"
Darius Songaila,2011,PHI,C,32,"71,0","10,0","7,1","0,0","1,2"
Martell Webster,2011,MIN,SF,24,"1094,0","46,0","23,8","1,8","12,4"
Hasheem Thabeet,2011,HOU,C,23,"373,0","47,0","7,9","0,3","4,7"
Ronnie Brewer,2011,CHI,SG,25,"1781,0","81,0","22,0","5,4","13,8"
Evan Turner,2011,PHI,SG,22,"1797,0","78,0","23,0","2,3","10,8"
Jarrett Jack,2011,NOH,SG-PG,27,"1722,0","83,0","20,7","2,4","14,2"
Chris Andersen,2011,DEN,C,32,"732,0","45,0","16,3","3,2","19,0"
O.J. Mayo,2011,MEM,SG,23,"1869,0","71,0","26,3","2,4","12,6"
Jeff Green,2011,BOS,PF-SF,24,"2427,0","75,0","32,4","4,8","12,9"
Charlie Bell,2011,GSW,SG,31,"171,0","19,0","9,0","-0,1","4,7"
Brad Miller,2011,HOU,C,34,"1015,0","60,0","16,9","3,0","16,3"
James Harden,2011,OKC,SG,21,"2189,0","82,0","26,7","7,1","16,4"
Matt Carroll,2011,CHA,SG,30,"582,0","54,0","10,8","0,8","12,2"
Zaza Pachulia,2011,ATL,C,26,"1244,0","79,0","15,7","3,1","12,4"
Hakim Warrick,2011,PHO,PF,28,"1416,0","80,0","17,7","3,4","16,5"
Randy Foye,2011,LAC,SG,27,"1551,0","63,0","24,6","1,7","11,4"
Nate Robinson,2011,OKC,PG,26,"1013,0","59,0","17,2","1,1","10,0"
DeShawn Stevenson,2011,DAL,SG,29,"1158,0","72,0","16,1","1,8","9,8"
Derrick Favors,2011,UTA,PF,19,"1535,0","78,0","19,7","2,9","13,9"
Yi Jianlian,2011,WAS,PF,23,"1112,0","63,0","17,7","0,4","10,1"
Russell Westbrook,2011,OKC,PG,22,"2847,0","82,0","34,7","9,4","23,6"
Daniel Gibson,2011,CLE,SG,24,"1865,0","67,0","27,8","2,4","13,2"
Luke Ridnour,2011,MIN,PG,29,"2159,0","71,0","30,4","4,0","15,0"
Anthony Morrow,2011,NJN,SG,25,"1856,0","58,0","32,0","3,0","12,1"
Ronny Turiaf,2011,NYK,C,28,"1141,0","64,0","17,8","3,2","13,6"
Brandon Bass,2011,ORL,PF,25,"1980,0","76,0","26,1","6,3","15,9"
Steve Blake,2011,LAL,PG,30,"1581,0","79,0","20,0","1,8","7,5"
Ryan Gomes,2011,LAC,SF,28,"2095,0","76,0","27,6","2,5","9,0"
Willie Green,2011,NOH,SG,29,"1674,0","77,0","21,7","1,8","10,8"
Ramon Sessions,2011,CLE,PG,24,"2133,0","81,0","26,3","4,4","19,0"
Tyreke Evans,2011,SAC,SG,21,"2107,0","57,0","37,0","1,6","14,4"
Corey Brewer,2011,DAL,SF-SG,24,"1510,0","69,0","21,9","1,1","11,0"
Jordan Farmar,2011,NJN,PG,24,"1796,0","73,0","24,6","1,9","14,1"
Wesley Johnson,2011,MIN,SG,23,"2069,0","79,0","26,2","1,3","10,2"
C.J. Miles,2011,UTA,SF,23,"1969,0","78,0","25,2","2,5","14,4"
Derek Fisher,2011,LAL,PG,36,"2297,0","82,0","28,0","3,7","8,9"
Kevin Love,2011,MIN,PF,22,"2611,0","73,0","35,8","11,4","24,3"
C.J. Watson,2011,CHI,PG,26,"1091,0","82,0","13,3","2,1","12,8"
Marc Gasol,2011,MEM,C,26,"2586,0","81,0","31,9","7,9","16,8"
Timofey Mozgov,2011,DEN,C,24,"524,0","45,0","11,6","0,6","10,8"
Dorell Wright,2011,GSW,SF,25,"3147,0","82,0","38,4","5,8","15,0"
Udonis Haslem,2011,MIA,PF,30,"345,0","13,0","26,5","0,9","12,7"
Chris Duhon,2011,ORL,PG,28,"774,0","51,0","15,2","0,2","5,6"
Carlos Delfino,2011,MIL,SF,28,"1590,0","49,0","32,4","3,5","13,1"
Shaun Livingston,2011,CHA,PG,25,"1261,0","73,0","17,3","1,9","14,3"
Tiago Splitter,2011,SAS,C,26,"738,0","60,0","12,3","2,3","16,0"
Brandan Wright,2011,NJN,PF,23,"379,0","37,0","10,2","0,8","15,9"
DeMarcus Cousins,2011,SAC,C,20,"2309,0","81,0","28,5","1,1","14,6"
Danilo Gallinari,2011,DEN,PF-SF,22,"2104,0","62,0","33,9","6,1","15,7"
Joel Anthony,2011,MIA,C,28,"1463,0","75,0","19,5","3,3","7,3"
Thabo Sefolosha,2011,OKC,SG,26,"2049,0","79,0","25,9","4,1","10,4"
Will Bynum,2011,DET,PG,28,"1125,0","61,0","18,4","1,5","15,2"
Johan Petro,2011,NJN,C,25,"893,0","77,0","11,6","0,4","9,9"
Grant Hill,2011,PHO,SF,38,"2409,0","80,0","30,1","4,4","14,7"
Kris Humphries,2011,NJN,PF,25,"2061,0","74,0","27,9","5,4","17,8"
Jonny Flynn,2011,MIN,PG,21,"983,0","53,0","18,5","-1,3","7,1"
Joakim Noah,2011,CHI,C,25,"1576,0","48,0","32,8","6,7","18,8"
Ekpe Udoh,2011,GSW,C,23,"1030,0","58,0","17,8","0,7","9,7"
Matt Bonner,2011,SAS,PF,30,"1432,0","66,0","21,7","4,4","13,5"
Eric Gordon,2011,LAC,SG,22,"2112,0","56,0","37,7","5,3","18,5"
Glen Davis,2011,BOS,C,25,"2298,0","78,0","29,5","4,9","12,8"
Jamario Moon,2011,LAC,SF,30,"1042,0","59,0","17,7","1,1","10,1"
Raja Bell,2011,UTA,SG,34,"2097,0","68,0","30,8","1,7","8,2"
Josh Howard,2011,WAS,SF,30,"409,0","18,0","22,7","-0,2","9,2"
Carl Landry,2011,NOH,PF,27,"2008,0","76,0","26,4","4,1","14,8"
Tony Allen,2011,MEM,SG,29,"1494,0","72,0","20,8","4,7","18,4"
Chris Wilcox,2011,DET,PF,28,"995,0","57,0","17,5","2,8","18,0"
Spencer Hawes,2011,PHI,C,22,"1718,0","81,0","21,2","2,4","12,8"
Stephen Curry,2011,GSW,PG,22,"2489,0","74,0","33,6","6,6","19,4"
Thaddeus Young,2011,PHI,PF,22,"2135,0","82,0","26,0","6,2","18,4"
Julian Wright,2011,TOR,SF,23,"766,0","52,0","14,7","0,6","12,1"
Anthony Parker,2011,CLE,SF,35,"2091,0","72,0","29,0","1,5","10,5"
Greg Monroe,2011,DET,C,20,"2222,0","80,0","27,8","6,6","18,0"
Rodney Stuckey,2011,DET,PG,24,"2183,0","70,0","31,2","5,0","18,4"
Sebastian Telfair,2011,MIN,PG,25,"711,0","37,0","19,2","0,1","10,5"
Jordan Hill,2011,HOU,C,23,"1125,0","72,0","15,6","1,8","13,1"
Nick Young,2011,WAS,SG,25,"2034,0","64,0","31,8","2,8","14,5"
Al-Farouq Aminu,2011,LAC,SF,20,"1452,0","81,0","17,9","0,7","9,6"
D.J. Augustin,2011,CHA,PG,23,"2757,0","82,0","33,6","6,2","15,9"
Maurice Evans,2011,WAS,SF,32,"1549,0","73,0","21,2","1,7","9,1"
Dahntay Jones,2011,IND,SG,30,"589,0","45,0","13,1","1,2","13,7"
David Andersen,2011,NOH,PF,30,"373,0","40,0","9,3","0,3","10,9"
DeMar DeRozan,2011,TOR,SG,21,"2851,0","82,0","34,8","3,2","14,5"
Brook Lopez,2011,NJN,C,22,"2889,0","82,0","35,2","6,3","19,3"
Marquis Daniels,2011,BOS,SF,30,"938,0","49,0","19,1","2,0","11,7"
Marco Belinelli,2011,NOH,SG,24,"1957,0","80,0","24,5","3,4","12,1"
Gordon Hayward,2011,UTA,SF,20,"1218,0","72,0","16,9","1,2","10,7"
Ryan Hollins,2011,CLE,C,26,"1182,0","70,0","16,9","1,8","10,7"
Brandon Jennings,2011,MIL,PG,21,"2169,0","63,0","34,4","3,9","15,6"
Craig Smith,2011,LAC,PF,27,"586,0","48,0","12,2","1,5","15,4"
Jerryd Bayless,2011,TOR,PG,22,"1496,0","71,0","21,1","1,6","14,1"
